recipe_original,final_food_name,TotalTimeInMins,Cuisine,TranslatedInstructions,TranslatedIngredients,Cleaned-Ingredients,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),best_match_clean,matched_original_name,composite_score,token_set_score,wratio_score,food_token_score,negative_penalty,token_overlap
Paasi Paruppu Beans Poriyal Recipe - Moong Dal & French Beans Stir Fry,Dal moong,35,South Indian Recipes,"To begin making Paasi Paruppu Beans Poriyal Recipe, we will start with washing and soaking the split moong dal for 15 minutes.Also, clean the french beans, finely chop and keep aside.Heat oil in a heavy bottomed pan on medium flame, add mustard seeds, dry red chilli and let it crackle.Add the asafoetida, green chillies, curry leaves and let it splutter.Now, drain the soaked split moong dal from water and add it to the pan.Mix well and let it cook with the lid closed for 5 minutes, until the moong dal is cooked well yet holding its shape.Now, add the beans, season with salt and stir well.Cook the poriyal with the lid closed until the beans are cooked till crunchy.
This will take around 10 minutes.Add the grated coconut, mix well and switch off the flame.Serve the Paasi Paruppu Beans Poriyal Recipe (Moong Dal & French Beans Stir Fry) along with Steamed Rice, Mixed Vegetable Sambar, Garlic Rasam, Kelyachi Bhaji and Curd to make it a South Indian weekend brunch at home.
","2-1/2 tablespoons Fresh coconut - grated,1 Green Chilli - finely chopped,2 teaspoons Sunflower Oil,Salt - to taste,1 teaspoon Mustard seeds,500 grams Green beans (French Beans) - chopped finely,1/2 cup Yellow Moong Dal (Split) - soaked in water for 20 minutes,2 Dry Red Chillies,1 pinch Asafoetida (hing) - a pinch,1 sprig Curry leaves","salt,green beans (french beans),yellow moong dal (split),green chilli,mustard seeds,coconut,asafoetida (hing),curry leaves,dry red chillies,sunflower oil",43.69,4.92,2.2,1.62,0.13,1.08,117.74,7.69,0.52,,,dal moong,Dal moong,86.15,100,85.5,2,0,0.22
Palak Paneer Bhurji Recipe -Spiced Cottage Cheese Scramble With Spinach Recipe,Spinach paneer (Palak paneer),45,North Indian Recipes,"To begin making the Palak Paneer Bhurji recipe, first prep all the ingredients and make the homemade paneer by following the link.Heat oil in a heavy bottomed pan on medium heat.
Add the cumin seeds and allow it to crackle.Once the cumin seeds have crackled add the ginger , garlic , green chili and onion fry till it turns light brown.
And add tomatoes, saute till they have softened and the most of the moisture is evaporated.Now add the spinach and saute until the spinach is cooked.Once the spinach is cooked add the spice powders and the crumbled paneer.Add a dollop of butter and saute the ingredients until well combined and simmer for about 3 to 4 minutes for the flavors to seep into the Paneer Bhurji.Once done, turn off the heat and serve the Spinach Paneer Bhurji along with Homemade Whole Wheat Bread toast and Muskmelon (Kharbuj) Juice for breakfast.","Sunflower Oil - for cooking,2 teaspoon Garam masala powder,Salt - to taste,1 Tomato - finely chopped,50 grams Spinach Leaves (Palak) - finely chopped,2 Green Chillies - finely chopped,1 Onion - finely chopped,2 cloves Garlic - finely chopped,1 tablespoon Butter,200 grams Paneer (Homemade Cottage Cheese) - crumbled,2 teaspoon Red Chilli powder,1/2 teaspoon Cumin seeds (Jeera),2 teaspoon Amchur (Dry Mango Powder)","tomato,salt,amchur (dry mango powder),paneer,spinach leaves (palak),red chilli powder,cloves garlic,onion,cumin seeds (jeera),green chillies,butter,garam masala powder,sunflower oil",77.68,4.43,4.03,4.76,2.55,1.91,166.87,113.25,1.85,60.21,267.05,spinach paneer,Spinach paneer (Palak paneer),86.15,100,85.5,2,0,0.22
Spinach And Paneer Samosa Recipe With Figaro Pure Olive Oil,Spinach paneer (Palak paneer),60,Indian,"Method To make the doughPrepare the dough by mixing together the flour, salt, oil and ajwain/ carom seeds to form a mixture of coarse crumbs.Add in water to the dough a little at a time to make a soft and firm dough.Once the dough comes together knead it continuously for 2-3 minutes and cover it with a moist muslin cloth.Allow the dough to rest for about 15-20 minutes.Method for the stuffing of spinach paneer samosasHeat oil in a pan; add in the chopped spinach and saute on high heat until the spinach softens.Once the spinach has softened and all the water is evaporated, turn off the heat.
Allow the spinach to cool completely.Once the spinach has cooled combined all the filling ingredients along with the sauteed spinach.Check the salt and spice levels and adjust to suit your taste.
Keep this aside.Method to Fill and Make the SamosasFill a small cup with water and keep aside; this will be used for sealing the edges of the cone.
On a floured surface, roll each portion into 3 inch diameter circle and cut each circle into half.Spread the water lightly all along the edge of the circle, fold into a cone.Place one or two tablespoons of spinach paneer filling in the center and seal the edges.Press to seal the edges of the samoas and use a fork and press on the edges of the dough to get the forked marks.Continue to make similar cone shaped samosas.Method to Deep fry the SamosaHeat pure olive oil in a heavy bottomed pan for deep frying on medium heat; gently slip in a couple of samosas into the frying pan and allow them to fry on medium heat.
Turn the samosas around in the oil once they come floating to the top.Fry them till they turn into a light golden-brown colour on all sides.
Keep the heat on medium all along.High heat can brown the crust faster but not make the crust crispier.
Continue the procedure with the remaining filled cones and drain them on absorbent paper.Once done, remove them from the oven and allow it to rest for about 5 minutes before serving Spinach and Paneer Samosas hot with green chutney or tamarind chutney.","Salt - to taste,2 tablespoons Sooji (Semolina/ Rava),1/4 teaspoon Ajwain (Carom seeds),Water - to knead,1/2 teaspoon Garam masala powder,2 Green Chillies - finely chopped,2 tablespoons Figaro Pure Olive Oil,1 cup Whole Wheat Flour,Figaro Pure Olive Oil - for deep frying,1 cup Spinach - washed and finely chopped,1 teaspoon Chaat Masala Powder,1 cup Paneer (Homemade Cottage Cheese) - crumbled","salt,wheat flour,water knead,spinach,paneer,ajwain (carom seeds),chaat masala powder,figaro pure olive oil,sooji (semolina rava),green chillies,garam masala powder",77.68,4.43,4.03,4.76,2.55,1.91,166.87,113.25,1.85,60.21,267.05,spinach paneer,Spinach paneer (Palak paneer),86.15,100,85.5,2,0,0.22
Kashmiri Kokur T Nadir Recipe-Chicken and Lotus Stem Curry,Chicken curry,70,Kashmiri,"To begin making the Kashmiri Kokur T Nadir recipe, wash and clean the chicken.Mix the chicken with kashmiri red chilli powder, fennel powder and dry ginger powder in a bowl and keep it for marination for about 30 minutes.Put the sliced lotus stem in warm water for few minutes to remove inside dirt and impurities.Strain Lotus stem slices and pressure cook them along with 2 cups of water, bay leaf, fennel seeds, black cardamom, cloves, ginger slices and salt as per taste.
Cook till the cooker releases 2 to 3 whistles.
Leave it aside for pressure to settle down.Heat mustard oil in a heavy bottomed pan.
Add cumin seeds and asafoetida powder into it, mix it well and cook it for 8 to 10 seconds.Add the above marinated chicken along with the curd mix and cook in medium to low flames till yogurt starts to thicken and oil starts leaving from sides.Now add the boiled and strained Lotus stem into the gravy and cook it on low flame for five minutes, stirring occasionally.
(you can add the spices as well) Now put caraway seeds into a Mortar and Pestle and crush them to form a powder.
Also crush dry Mint leaves between your hand and add into the gravy.
Adjust salt as needed and cook till the curry starts to thicken.
Once it is done, switch off the stove and garnish with some fresh coriander leaves.
Serve hot.Serve Kashmiri Kokur T Nadir along with Kashmiri Dum Monji, Steamed Rice and Phulkas for a weekday meal with your family.","1 teaspoon Dry ginger powder,1/4 teaspoon Fennel seeds (Saunf),1 inch Ginger - chopped,Salt - to taste,1 teaspoon Cumin seeds (Jeera),3 sprig Coriander (Dhania) Leaves - chopped for garnish,2 teaspoon Kashmiri Red Chilli Powder,1 teaspoon Ajwain (Carom seeds),1/2 teaspoon Mint powder (Pudina),2 cups Lotus Stem - (nadru or kamal kakdi) peeled & sliced,2 Black cardamom (Badi Elaichi),1 Bay leaf (tej patta),1/4 teaspoon Asafoetida (hing),3 tablespoon Mustard oil,2 cups Water,1-1/2 cups Curd (Dahi / Yogurt) - whisked,750 grams Chicken - cut into medium pieces,4 Cloves (Laung),2 teaspoon Fennel Powder","black cardamom (badi elaichi),salt,ginger,kashmiri red chilli powder,mustard oil,bay leaf (tej patta),fennel seeds (saunf),asafoetida (hing),ajwain (carom seeds),lotus stem (nadru kamal kakdi),water,curd,fennel powder,dry ginger powder,coriander (dhania) leaves,chicken,cumin seeds (jeera),cloves (laung),mint powder (pudina)",129.22,3.38,11.79,7.57,1.79,1.41,108,27.29,0.87,16.79,38.7,chicken curry,Chicken curry,86.15,100,85.5,2,0,0.22
Moong Dal Khichdi Recipe For Babies And Toddlers Over 10 Months,Dal moong,30,Indian,"To begin making the Moong Dal Khichdi For Babies And Toddlers, add yellow moong dal and rice along with 1 cup water in a pressure cooker.Pressure cook the dal and rice for 3 whistles, reduce the flame to low and leave it for 2 minutes.
After 2 minutes, turn off the flame and let the pressure release naturally.
Meanwhile, in another pressure cooker, add the chopped carrots, beans, add 2 tablespoons water and pressure cook for 2 whistles.
Turn off the heat and run the pressure cooker under cold water to release the pressure.
This will ensure that the vegetables are cooked without losing its colour and nutrition.
Next, place a kadai on low heat and add ghee.
Once the ghee melts, add jeera and allow it to crackle.
Once the jeera has crackled, add asafoetida and mix well into the ghee.
Add cooked carrots, beans, cooked dal and rice khichdi along with a pinch of salt.Stir to combine the Moong Dal Khichdi For Babies And Toddlers until it becomes almost smooth.
Turn off heat.
Moong Dal Khichdi for your baby is ready.
Serve this Moong Dal Khichdi to your babies/toddlers who are over 10 months for a wholesome lunch meal.
 ","1/4 cup Rice,1 Carrot (Gajjar) - finely chopped,3 Green beans (French Beans) - finely chopped,1/4 teaspoon Cumin seeds (Jeera),1 teaspoon Ghee,Salt - a pinch,1/4 cup Yellow Moong Dal (Split),1/4 teaspoon Asafoetida (hing)","salt,green beans (french beans),yellow moong dal (split),rice,ghee,asafoetida (hing),carrot,cumin seeds (jeera)",43.69,4.92,2.2,1.62,0.13,1.08,117.74,7.69,0.52,,,dal moong,Dal moong,86.15,100,85.5,2,0,0.22
Mangalorean Style Lobia Gassi Recipe - Black Eyed Peas In Coconut Curry,Lobia curry,195,Mangalorean,"To begin making the Mangalorean Style Lobia Gassi Recipe, in a Kadai/Pan, add 1 teaspoon ghee.
Roast coriander seeds, cumin seeds, dried red chilies, peppercorns one by one until fragrant.
Once roasted remove from pan and set aside to cool.Into the same pan, add sliced onions, garlic, and roast until onions start to turn brown.Add fresh grated coconut, tamarind ball, and continue to roast until coconut start to turn golden brown.
Remove from the pan and set it aside.After roasting all the, and the spices and onion-coconut mix has cooled, add them all to a blender and blend into smooth paste by adding little water.Heat a pressure cooker with oil, add the ground masala paste and cook until oil/ghee separates from the sides of the pan.Add in your soaked lobia, turmeric powder and salt, add about 1/2 water and cook the lobia for 3 whistle.Remove and add the coconut milk and stir well, check for salt and adjust according to your palate.To temper, heat a kadai, add mustard seeds, hing, curry leaves, garlic and dry red chilies and let it crackle for few minutes and pour it over the gassi and serve.
Serve the Mangalorean Style Lobia Gassi Recipe along with Mangalorean Neer Dosa Recipe (Savory Rice & Coconut Crepe) to make a good meal for your Sunday lunch.
","1 Dry Red Chilli,4 Dry Red Chillies,1 tablespoon Coriander (Dhania) Seeds,1 teaspoon Asafoetida (hing),2 sprig Curry leaves,Sunflower Oil - for cooking,Salt - to taste,18 grams Tamarind,1/2 cup Fresh coconut - grated,1 tablespoon Cumin seeds (Jeera),1 tablespoon Methi Seeds (Fenugreek Seeds),1 cup Black Eyed Beans (Lobia) - soaked in water for 2 hours,1 Cinnamon Stick (Dalchini),1 teaspoon Mustard seeds,1 tablespoon Whole Black Peppercorns,1 cup Shallots,2 cloves Garlic - crushed,1 teaspoon Turmeric powder (Haldi),2 Cloves (Laung) - garlic,1 cup Coconut milk","salt,coconut,mustard seeds,asafoetida (hing),black peppercorns,cloves garlic,dry red chilli,curry leaves,cloves (laung) garlic,dry red chillies,coriander (dhania) seeds,cumin seeds (jeera),methi seeds (fenugreek seeds),cinnamon stick (dalchini),coconut milk,tamarind,turmeric powder,black eyed beans (lobia),sunflower oil",148.99,17.88,6.06,5.62,2.51,4.57,355.41,36.8,2.21,15.13,86.78,lobia curry,Lobia curry,86.15,100,85.5,2,0,0.22
Carrot Pachadi With Coconut Recipe,Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),15,Tamil Nadu,"To begin making the Carrot Pachadi with Coconut Recipe, take a big bowl, add the curd and whisk it to a thick consistency with silky smooth texture and keep aside.In a hand mixer jar, add the grated coconut, coriander and green chilli and make a course mix of it.In the same jar add the roughly chopped carrots and pulse it to a course mix.Add this course carrot coconut mix to the bowl of curd, season with salt and mix well.Now, heat oil in a tadka pan on medium flame, add the mustard seeds and split urad dal and let it crackle.Add the asafoetida, curry leaves, red chilli and let it splutter.Add this tadka to the bowl of carrot pachadi and mix well.Serve the Carrot Pachadi along with Vegetable Biryani or Paneer Biryani for your weekend brunch along with Kachumber salad.
","2 Carrots (Gajjar),1 Dry Red Chilli,3 tablespoons Fresh coconut - grated,1 Green Chilli,1/2 teaspoon Mustard seeds,500 ml Curd (Dahi / Yogurt),Salt - to taste,2 sprig Coriander (Dhania) Leaves - roughly chopped,1/4 teaspoon Black Urad Dal (Split),1/4 teaspoon Asafoetida (hing),1 teaspoon Sunflower Oil,1 sprig Curry leaves","salt,green chilli,coconut,mustard seeds,asafoetida (hing),carrot,black urad dal (split),curd,coriander (dhania) leaves,curry leaves,dry red chilli,sunflower oil",106.61,4.99,1.82,8.62,2.36,4.52,219.6,48.63,0.84,41.01,72.27,carrot and cabbage with coconut,Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),86.14,82.61,79.31,1,0,0.75
No Churn Strawberry Ice Cream Recipe,Strawberry ice cream,375,Continental,"To begin with No Churn Strawberry Ice cream first, cut the strawberries and blend them into a nice smooth pure.
For the next step in a bowl, add the sweetened condensed milk and lemon juice.Now take the chilled bowl and pour the heavy cream and whip them thoroughly for about 7 - 10 minutes on high speed.
Make sure the mixture turns out to be very thick.Take a spatula and gently blend condensed milk with whipped cream and mix them well.
It's time to add the pureed strawberries with the whipped cream and once again give it a good mix.
Pour the ice cream into a metal container (I used my banana bread loaf pan)Cover tightly (or wrap with aluminium foil) and freeze for at least 6 hours.Your No Churn Strawberry Ice Cream is ready to be served with whole wheat waffles and some strawberry puree can be served with the ice cream.
","2 cups Heavy whipping cream,2 cups Strawberry Compote,1 teaspoons Lemon juice,1 Condensed Milk - can","strawberry compote,condensed milk can,heavy whipping cream,lemon",215.61,12.26,4.15,16.96,11.6,0,37.62,77.08,0.34,2.13,22,strawberry ice cream,Strawberry ice cream,86.02,100,95,0,0,0.6
Stuffed Cabbage Rolls Recipe,Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),70,Continental,"To begin making Stuffed Cabbage Rolls Recipe, first make the sauce.Heat oil in a saucepan.Add garlic and onion and sauté till the onion becomes translucent.Add crushed tomatoes, salt, sugar, pepper or chilli powder and simmer for 4-5 minutes.Add little water if required.Take it off the heat and keep aside till required.To make the cabbage rolls: Blanch the cabbage leaves in boiling salted water for 6-7 minutes, till they are just soft and easy to roll.
Do not cook them through.Drain water and place leaves on a kitchen towel to soak off the excess moisture.In a pan, heat oil.Add garlic and onion and sauté till the onion becomes translucent.Add the carrots and mushrooms.
Saute for a minute.Add rice, salt, herbs, pepper and stir.Take it off the heat.Place one cabbage leaf on the work surface.With a sharp knife cut out the thick part of the vein.Add about a tablespoon and half of the rice stuffing in the center of the bottom part of the leaf.Starting with the stem end, roll the leaf up tightly, tucking in the sides as you roll.Repeat and stuff all the other leaves in a similar way.Prepare a steamer.Place the cabbage rolls in a Steamer seam side down.Steam for about 12-15 minutes or till the leaves are cooked through.To serve: Spread some tomato sauce on a serving dish.Place the cabbage rolls on it.Spread some sauce over each roll.Garnish with herbs and serve Stuffed Cabbage Rolls Recipe along with World main course recipes for a cozy weekend dinner.
You can also serve these stuffed cabbage rolls with a crusty bread to side for a light meals on busy weekdays.","1 Pinch Sugar,1 Carrot (Gajjar) - grated,6 Button mushrooms - finely chopped,2 teaspoons Sunflower Oil,Salt - to taste,3 Tomatoes - blanched,2 cloves Garlic - minced,1/4 teaspoon Red Chilli powder,1 Onion - finely chopped,1/2 cup Cooked rice,1 Cabbage (Patta Gobi/ Muttaikose) - leaves,1/2 teaspoon Black pepper powder - crushed,2 teaspoon Mixed Herbs (Dried),1 tablespoon Sunflower Oil,3 cloves Garlic - minced","cabbage (patta gobi muttaikose) leaves,salt,tomato,rice,mixed herbs (dried),red chilli powder,cloves garlic,carrot,sugar,onion,black pepper powder,button mushrooms,sunflower oil",142.48,6.09,8.21,9.36,1.26,1.84,118.05,31.54,0.98,12.69,19.01,cabbage rolls,Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),85.95,100,90,0,0,0.67
 Andhra Style Peanut Chutney Recipe,Peanut chutney (Mungfali ki chutney),30,Andhra,"To make Andhra Style Peanut Chutney Recipe, first put peanuts, red chillies in a pan and cook them until the peanuts turn light brown.
After cooking, turn off the gas and keep it aside.
Now heat the water in a saucepan.
Add tomatoes and cook for 5 minutes.
Remove the skin from the tomato and keep it aside.
Now in a mixer grinder add tomato, peanut mixture, garlic, salt, some water and grind it well to make a paste.
Now heat the oil in a tempering pan for tempering.
Add urad dal, curry leaves and cook for 1 minute.
Add this tempering to the chutney, mix and serve.
Serve Andhra Style Peanut Chutney Recipe with Ghee Roast Dosa and Filter Coffee for breakfast."," 1 tsp rye, 3 cloves garlic, 5 dry red chillies, 1 sprig curry leaves, salt - as per taste, 1 tsp white urad dal, 2 tomatoes - finely chopped,1 cup peanuts - peel, 1 tsp oil","tomato,salt,rye,cloves garlic,peanuts,curry leaves,dry red chillies,oil,white urad dal",258.37,9.87,11.8,19.06,2.76,5.73,475.34,34.79,1.99,4.2,10.14,peanut chutney,Peanut chutney (Mungfali ki chutney),85.95,100,90,0,0,0.67
Carrot Cake Pancakes Recipe,Carrot cake (Gajar ka cake),40,Continental,"To begin making the Carrot Cake Pancakes Recipe, first mix the flour, spice mix, baking powder, baking soda and salt in a mixing bowl.In another large mixing bowl, whisk together the egg, sugar, melted butter, curd and milk.Stir in the carrots and pineapple.Fold in the flour mixture and mix till the flour is just incorporated.
Add little milk if required to make a batter of dropping consistency.
Keep aside for 5-10 minutes.Heat a non-stick griddle and smear some butter on it.Drop a ladle full of the batter on it.
Cook on medium heat till bubbles appear around the edge and the pancake is golden brown on the bottom.Flip carefully and cook for a minute on the other side.Enjoy Carrot Cake Pancakes hot with toppings of your choice.
Honey, fruits and nuts, a dollop of sweetened cream, cream cheese or hung curd are a few topping ideas to try with this Carrot Cake Pancakes Recipe.Serve Carrot Cake Pancakes along with Espresso Coffee for a weekend breakfast.
","2 cups Milk - or as required,1 teaspoon Baking powder,1 teaspoon Pumpkin pie spice,1/2 cup Curd (Dahi / Yogurt) - whisked,2 tablespoons Butter - melted,1 cup Carrots (Gajjar) - grated finely,1 Whole Egg,1/2 cup Brown Sugar (Demerara Sugar),Butter - as required for greasing the pan,1/2 teaspoon Baking soda,1 pinch Salt,2 cups Whole Wheat Flour - or multigrain flour,1/2 cup Pineapple - crushed","pumpkin pie spice,baking powder,pineapple,salt,butter greasing the pan,eggs,milk,wheat flour multigrain flour,carrot,baking soda,curd,brown sugar (demerara sugar),butter",255.59,35.98,5.6,10.27,23.96,2.93,158.74,156.1,1.03,3.12,17.06,carrot cake,Carrot cake (Gajar ka cake),85.95,100,90,0,0,0.67
Mexican Hot Chocolate Recipe,Hot chocolate,15,Mexican,"To begin making the Mexican Hot Chocolate Recipe, boil the milk along with cinnamon stick, chocolate and palm sugar over a medium heat.Boil until the chocolate and palm sugar has dissolved well.
In a separate bowl add the corn flour and mix it with 1/4 cup water till it combines well.Pour the corn flour mixture and keep stirring the milk till it thickens.
Serve the Mexican Hot Chocolate Recipe along with a cookie or a banana bread or Lemon Pound Cake that will satisfying your evening craving.
","500 ml Milk,20 grams Palm sugar - jaggery also will do,2 inch Cinnamon Stick (Dalchini),50 grams Dark chocolate,1 tablespoon Corn flour","corn flour,milk,palm sugar jaggery also will do,cinnamon stick (dalchini),dark chocolate",90.01,9.02,3.43,4.61,8.86,0,36.04,113.63,0.33,3.62,13.41,hot chocolate,Hot chocolate,85.95,100,90,0,0,0.67
Raw Tomato Chutney Recipe - Raw Tomato Chutney (Recipe In Hindi),Tomato chutney (Tamatar ki chutney),40,South Indian Recipes,"To make raw tomato chutney, first heat oil in a pan.
Add fenugreek seeds and cook until golden.
Let it cool down.
In a mixer grinder, add tomatoes, fenugreek seeds, salt, jaggery and make a paste.
Now heat oil in a pan.
Add mustard seeds and let it cook for 10 seconds.
Add curry leaves and let it cook for 10 seconds.
Add chopped onions and cook till they become soft.
Add powdered chutney and 1/4 cup of water to it and mix and serve.
Serve raw tomato chutney with keerai sambar and rava dosa for breakfast."," oil - as per use, 1 onion - finely chopped, 4 cloves garlic, 1 teaspoon fenugreek seeds, 1 teaspoon mustard, 4 green chillies, 1 sprig curry leaves, salt - as per taste, 1 teaspoon jaggery,500 grams tomatoes","tomato,salt,jaggery,cloves garlic,fenugreek seeds,curry leaves,mustard,onion,oil,green chillies",176.07,31.85,0.97,6.01,30.02,1.49,823.65,25.34,0.96,,,tomato chutney,Tomato chutney (Tamatar ki chutney),85.95,100,90,0,0,0.67
Saffron Milk Pudding Recipe,Saffron milk (Kesariya doodh),40,Indian,"To begin making the Saffron Milk Pudding, add the gelatine into a bowl, pour hot water and stir.
Wait for few minutes until gelatin dissolved completely.Take 1/4 cup milk into a bowl, add custard powder, whisk to make a smooth paste and make sure no lumps will form.Heat rest of the milk into a saucepan by adding granulated sugar, saffron, and  almonds powder.
Stir and keep boiling until sugar dissolves completely.Remove this saucepan from heat and add custard powder, gelatine (before adding gelatine, stir it again with fork), rose water, kewra essence and stir continuously.Again heat this mixture for 2 minutes at medium flame.
Do not boil, just heat it.
Remove the mixture from heat and let this mixture cool down.
Pour the mixture into each small individual bowl or a big bowl through a strainer, set them first at room temperature for at least 1 hour, then refrigerate for minimum 2 hours thereafter .Before serving, take out the pudding from fridge, loosen the sides with a knife, invert upside down on a plate.Serve Saffron Milk Pudding as a dessert after your festive meal of Aloo Gobhi Matar Ki Sabzi, Boondi Raita and Puri.","1/2 cup Sugar - granulated,Kewra essence - a drop,2 teaspoons Badam (Almond) - powdered (grind 1/4 almonds in a mixer grinder at medium speed),1 teaspoon Rose water,2 tablespoons Custard powder,2 cups Milk,2 tablespoons Gelatin,1 teaspoon Saffron strands,4 tablespoons Hot water","kewra essence drop,milk,saffron strands,rose water,water,sugar,badam (almond) (grind almonds mixer grinder speed),custard powder,gelatin",102.18,12.64,3.17,4.57,12.5,0.14,23.69,110.88,0.21,4.84,17.96,saffron milk,Saffron milk (Kesariya doodh),85.95,100,90,0,0,0.67
Tomato Onion Chutney Recipe - Tomato Onion Chutney Recipe,Onion chutney (Pyaaz ki chutney/Vengaya chutney),25,South Indian Recipes,"To make tomato onion chutney, first heat oil in a pan.
Add onions and cook till they become soft.
After the onion becomes soft, add tomatoes, green chillies, salt, asafoetida, turmeric powder and cook till the tomatoes become soft.
Turn off the gas and allow this mixture to cool.
After cooling, pour it into the mixer grinder and grind it.
Now heat the oil in a tempering pan for tempering.
Add the mustard seeds, urad dal, curry leaves and cook for 20 seconds.
Now add it to the tadka chutney and mix.
Serve tomato onion chutney with ghee roast dosa and filter coffee for breakfast."," 1 green chili, salt - as per taste , 4 curry leaves, 1 tsp sesame oil, 1/4 tsp turmeric powder, 1/2 cup small onions, 1/2 tsp rye - or any oil,4 tomatoes - chopped, 1 tbsp sesame oil - or any oil, 1 tsp white urad dal, 1/4 tsp asafoetida - optional","tomato,turmeric powder,salt,green chilli,asafoetida,sesame oil oil,curry leaves,rye oil,onion,sesame oil,white urad dal",143.94,13.52,2.97,8.38,6.8,4.6,256.89,28.5,1.19,2.83,17.03,onion chutney,Onion chutney (Pyaaz ki chutney/Vengaya chutney),85.95,100,90,0,0,0.67
Homemade Spring Roll Wrapper Recipe,Spring roll,30,Chinese,"To begin making the homemade Spring Roll Wrapper Recipe, combine the plain flour, cornflour, water and salt in a bowl and whisk well until well combined and there are no lumps.
The batter will be runny.Heat and grease a nonstick pan with oil.
Once the pan is hot, with heat on medium, pour a ladle of the batter into the pan and tilt the pan around quickly to make a thin circle.Cook on medium heat until you see the sides are beginning to peel off.
When the sides begin to peel off, turn the wrapper and cook on the other side for a few seconds.Repeat with the remaining batter to make more wrappers.
Stack the Spring Roll Wrappers one above the other, greased with little oil and store in airtight containers and place them in the freezer.","1/2 cup All Purpose Flour (Maida),3/4 cup Water,Salt - a pinch,1/4 cup Corn flour","salt,flour (maida),corn flour,water",623.87,8.56,1.81,64.63,0.6,0.67,132.84,9.51,0.49,4.59,9.59,spring roll,Spring roll,85.95,100,90,0,0,0.67
Savoury Oatmeal Porridge Recipe,Oatmeal Porridge,30,Indian,"To begin making the Savoury Oatmeal Porridge Recipe, prep the vegetables and keep them ready for cooking.In a kadai or a wok; add a teaspoon of oil and place it over medium heat.
Add the mustard seeds and allow it to crackle.
Once it crackles, add the chopped onions and green chilies.
Saute the onions and chiles until they turn soft and lightly browned.Next add the carrots, capsicum, and beans.
Sprinkle some salt and dash of water and cook them until done.
This will take about 4 minutes.
Keep the pan covered so they get cooked faster in the steam.Add the turmeric powder, the oats and a cup of water.
Check the salt and adjust to suit your taste.Keep stirring the porridge and cook until the oats is done.Once the oats is cooked through, stir in the chopped coriander leaves and serve.Serve the Savoury Oatmeal Porridge along with a fried egg and fruits for a wholesome breakfast.
","1 Carrot (Gajjar) - finely chopped,1/2 teaspoon Turmeric powder (Haldi),Coriander (Dhania) Leaves - few sprigs,1/4 cup Instant Oats (Oatmeal),1/2 teaspoon Mustard seeds,Salt - to taste,2 Green Chillies - finely chopped,1 Onion - finely chopped,10 Green beans (French Beans) - finely chopped,1 cup Water,1 teaspoon Sunflower Oil,1 Green Bell Pepper (Capsicum) - finely chopped","salt,green beans (french beans),coriander (dhania) leaves,mustard seeds,water,carrot,onion,green bell pepper (capsicum),turmeric powder,green chillies,instant oats (oatmeal),sunflower oil",72.85,8.77,2.6,3.22,5.2,0.39,16.14,76.83,0.28,5.03,23.98,oatmeal porridge,Oatmeal Porridge,85.95,100,90,0,0,0.67
Baked Banana Chips Recipe,Banana chips (Kele ke chips),45,Kerala Recipes,"To begin making Baked Banana Chips Recipe, take a bowl, add sliced banana, paprika powder, black pepper powder, salt to taste and a bit of olive oil to coat.Mix everything well and make sure that the banana slice gets coated well with oil and masala.Preheat the oven to 200 degree celcius for about 10 minutes.
Meanwhile, spread coated banana slices over the baking sheet lined with a parchment paper.Bake at 200 degree celcius for 20-25 minutes or till they become crisp.
Keep checking them as different oven takes different time to bake.Serve Baked Banana Chips Recipe along with Tomato and Sunflower Seed Dip Recipe or Coconut & Ricotta Dip with Banana Chips Recipe during tea time for snacking, along with a Smoothie","Salt - to taste,3 Raw Banana - peeled and thinly sliced,1 tablespoon Extra Virgin Olive Oil - to toss,1/2 tablespoon Paprika powder,1/4 tablespoon Black pepper powder","salt,paprika powder,virgin olive oil toss,black pepper powder,banana",665.67,7.32,0.37,70.46,4.37,0.65,86.87,2.01,0.19,4.03,8.97,banana chips,Banana chips (Kele ke chips),85.95,100,90,0,0,0.67
